modulation,source_snr_db,jammer_type,jsr_db,num_samples,detection_rate,mean_jam_probability
128QAM,10.0,tone,-10.0,10,0.0,0.12352801114320755
128QAM,10.0,tone,-5.0,10,0.8,0.6717140451073647
128QAM,10.0,tone,0.0,10,1.0,0.996762889623642
128QAM,10.0,tone,5.0,10,1.0,0.9999978899955749
128QAM,10.0,tone,10.0,10,1.0,0.9999972343444824
128QAM,20.0,barrage,-10.0,10,0.0,0.07237347438931466
128QAM,20.0,barrage,-5.0,10,0.7,0.5595371067523957
128QAM,20.0,barrage,0.0,10,1.0,0.997122585773468
128QAM,20.0,barrage,5.0,10,1.0,0.9999986529350281
128QAM,20.0,barrage,10.0,10,1.0,0.9999999880790711
128QAM,20.0,chirp,-10.0,10,0.0,0.11471334248781204
128QAM,20.0,chirp,-5.0,10,0.7,0.6439335018396377
128QAM,20.0,chirp,0.0,10,1.0,0.9887957334518432
128QAM,20.0,chirp,5.0,10,1.0,0.9999962449073792
128QAM,20.0,chirp,10.0,10,1.0,0.9999997854232788
128QAM,20.0,tone,-10.0,10,0.0,0.1254895068705082
128QAM,20.0,tone,-5.0,10,1.0,0.7465714633464813
128QAM,20.0,tone,0.0,10,1.0,0.9988601207733154
128QAM,20.0,tone,5.0,10,1.0,0.9999958038330078
128QAM,20.0,tone,10.0,10,1.0,0.9999957323074341
128QAM,30.0,barrage,-10.0,9,0.0,0.0975666389697128
128QAM,30.0,barrage,-5.0,9,0.6666666666666666,0.577320878704389
128QAM,30.0,barrage,0.0,9,1.0,0.9953717125786675
128QAM,30.0,barrage,5.0,9,1.0,0.999998516506619
128QAM,30.0,barrage,10.0,9,1.0,1.0
128QAM,30.0,chirp,-10.0,9,0.0,0.11807093086342017
128QAM,30.0,chirp,-5.0,9,0.7777777777777778,0.6814464198218452
128QAM,30.0,chirp,0.0,9,1.0,0.9988900555504693
128QAM,30.0,chirp,5.0,9,1.0,0.9999970859951444
128QAM,30.0,chirp,10.0,9,1.0,0.9999994039535522
128QAM,30.0,tone,-10.0,9,0.0,0.12307881936430931
128QAM,30.0,tone,-5.0,9,0.8888888888888888,0.7308387888802422
128QAM,30.0,tone,0.0,9,1.0,0.9621851642926534
128QAM,30.0,tone,5.0,9,1.0,0.9999870724148221
128QAM,30.0,tone,10.0,9,1.0,0.9999994966718886
16APSK,-20.0,barrage,-10.0,10,0.0,0.06243523694574833
16APSK,-20.0,barrage,-5.0,10,0.0,0.30002144575119016
16APSK,-20.0,barrage,0.0,10,1.0,0.989799189567566
16APSK,-20.0,barrage,5.0,10,1.0,0.9999964118003846
16APSK,-20.0,barrage,10.0,10,1.0,0.9999998927116394
16APSK,-20.0,chirp,-10.0,10,0.0,0.07180710919201375
16APSK,-20.0,chirp,-5.0,10,0.4,0.49411122500896454
16APSK,-20.0,chirp,0.0,10,1.0,0.9892824530601502
16APSK,-20.0,chirp,5.0,10,1.0,0.9999889373779297
16APSK,-20.0,chirp,10.0,10,1.0,0.9999985933303833
16APSK,-20.0,tone,-10.0,10,0.0,0.06619728542864323
16APSK,-20.0,tone,-5.0,10,0.2,0.3568248629570007
16APSK,-20.0,tone,0.0,10,1.0,0.9690911114215851
16APSK,-20.0,tone,5.0,10,1.0,0.9999881505966186
16APSK,-20.0,tone,10.0,10,1.0,0.9999901533126831
16APSK,-10.0,barrage,-10.0,10,0.0,0.06963189877569675
16APSK,-10.0,barrage,-5.0,10,0.0,0.3533569201827049
16APSK,-10.0,barrage,0.0,10,1.0,0.9926398754119873
16APSK,-10.0,barrage,5.0,10,1.0,0.9999966382980346
16APSK,-10.0,barrage,10.0,10,1.0,0.9999999165534973
16APSK,-10.0,chirp,-10.0,10,0.0,0.08479026108980178
16APSK,-10.0,chirp,-5.0,10,0.3,0.41664187163114547
16APSK,-10.0,chirp,0.0,10,1.0,0.9695215940475463
16APSK,-10.0,chirp,5.0,10,1.0,0.9999845862388611
16APSK,-10.0,chirp,10.0,10,1.0,0.9999992370605468
16APSK,-10.0,tone,-10.0,10,0.0,0.07133580707013606
16APSK,-10.0,tone,-5.0,10,0.1,0.37816555202007296
16APSK,-10.0,tone,0.0,10,1.0,0.9905725717544556
16APSK,-10.0,tone,5.0,10,1.0,0.9999922156333924
16APSK,-10.0,tone,10.0,10,1.0,0.999983811378479
16APSK,0.0,barrage,-10.0,10,0.0,0.17407023534178734
16APSK,0.0,barrage,-5.0,10,1.0,0.6893374383449554
16APSK,0.0,barrage,0.0,10,1.0,0.9994214236736297
16APSK,0.0,barrage,5.0,10,1.0,0.9999990582466125
16APSK,0.0,barrage,10.0,10,1.0,0.9999999880790711
16APSK,0.0,chirp,-10.0,10,0.1,0.23021749183535575
16APSK,0.0,chirp,-5.0,10,0.8,0.7384109780192375
16APSK,0.0,chirp,0.0,10,1.0,0.9961499869823456
16APSK,0.0,chirp,5.0,10,1.0,0.9999961733818055
